alpha,p,lambda,birth,death,omega,gamma,sigma,beta1,beta2,cum_deaths,max_hospitalizations
0,0.4,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,43812.99504244095,10570.332441802748
0,0.5,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,59061.71697218102,25861.938467580967
0,0.5,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,57971.764988991345,24208.877573101236
0,0.5,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,56753.68310169701,22513.560580186997
0,0.5,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,55388.94525821056,20777.617426371267
0,0.5,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,53855.678003385605,19003.647436897398
0,0.5,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,52127.89976545818,17195.598743423685
0,0.5,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,50174.49419733887,15359.097562960254
0,0.5,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,47957.52672436595,13502.098859204656
0,0.5,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,45427.66390189767,11635.588379584431
0,0.5,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,42501.608681274156,9774.636433942862
0,0.5,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,38914.02136640054,7939.817834900138
0,0.6,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,59061.71697218454,25861.938467567114
0,0.6,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,57826.863162452006,23999.24780614674
0,0.6,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,56427.039690093945,22083.29532076041
0,0.6,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,54835.01634474123,20116.65849451292
0,0.6,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,53017.91248064198,18103.582907204367
0,0.6,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,50935.69290222732,16050.669003359246
0,0.6,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,48538.89530415682,13967.731278911053
0,0.6,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,45763.22530669506,11868.952371550495
0,0.6,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,42501.602840121916,9774.636856913849
0,0.6,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,38378.29596638145,7713.601019311271
0,0.6,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,30926.29113509139,5726.682959242144
0,0.7,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,59061.71697218614,25861.938467566048
0,0.7,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,57697.32216315275,23813.737523692078
0,0.7,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,56130.97175567899,21701.57054281374
0,0.7,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,54325.579314218914,19529.143809579466
0,0.7,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,52235.44753231792,17302.802615073157
0,0.7,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,49803.629650475625,15032.615488599466
